Continent,Country or State,Province or City,Shop Name,Shop Age,PC Make,PC Model,Customer Name,Customer Surname,Customer Contact Number,Customer Email Address,Sales Person Name,Sales Person Department,Cost Price,Sale Price,Discount Amount,Cost of Repairs,Total Sales per Employee,PC Market Price,Finance Amount,Credit Score,Channel,Priority,Payment Method,Storage Capacity,Storage Type,RAM,Purchase Date,Ship Date
North America,Texas,McKinney,DEF Machines,7,Asus,ROG Strix Scar III,Michael,Obrien,8759422956,carterpatricia@example.net,Ashley Wright,New Sales,18384,23384,937,0,570,21010,0,685,Offline,Low,Cash,1TB,HDD,16GB,7/17/2022,N/A
Africa,Kenya,Mombasa,XYZ Tech,7,HP,Stream,Kevin,Romero,(430)332-4476,tfreeman@example.com,Tonya Nolan,Repairs,18950,23116,50,3465,380,22010,5166,786,Online,High,Finance,1TB,HDD,16GB,1/13/2024,2/12/2024
North America,California,Oxnard,XYZ Tech,7,Apple,Apple Lisa,Sarah,Mcconnell,(474)419-1030,richardsshelley@example.com,Alyssa Martinez,Repairs,15215,19439,286,1981,146,17913,0,401,Offline,Medium,Cash,256GB,HDD,2GB,11/22/2021,N/A
North America,Pennsylvania,Wilkes-Barre,Benjis Tech,2,Lenovo,IdeaPad Flex 5,Sarah,King,(628)735-7206,nealrebecca@example.com,Lisa Graham,Returns,14132,16444,132,0,856,15699,0,656,Offline,High,Cash,1TB,SSD,4GB,10/7/2023,N/A
North America,Michigan,Saginaw,Benjis Tech,3,Apple,Apple Mac Mini,Gregory,Brown,900-400-3165x799,roberthebert@example.net,Allen Juarez,Second-hand Sales,12365,15254,984,0,549,13599,0,488,Online,Medium,Bank Transfer,256GB,HDD,16GB,10/24/2023,11/4/2023
North America,Ohio,Beavercreek,Western International PCs,2,Dell,Precision,Karen,Nguyen,268.968.3311x03727,simmonsdillon@example.com,Max Mccann,New Sales,12187,14372,549,0,781,13327,43712,573,Offline,Low,Finance,500GB,HDD,8GB,5/21/2021,N/A
Africa,Botswana,Kweneng,CK Tech Store,2,Asus,ZenBook UX425,Alexis,Gray,968-253-8760,sawyermark@example.com,Madison Davis,Repairs,19899,23008,502,3902,762,22285,0,676,Online,Medium,Cash,256GB,HDD,4GB,10/10/2022,10/18/2022
Africa,Ethiopia,Harari,Greens Laptops and PCs,2,Acer,Spin 5,Garrett,Jones,373-794-7580x20731,ricky11@example.com,Joseph Good,Repairs,26911,30154,439,3962,1000,30047,0,550,Online,Medium,Cash,256GB,HDD,2GB,1/25/2022,2/2/2022
North America,California,Irvine,GH PC Shop,1,Microsoft,Surface Neo,Christina,Little,(867)493-2795x5301,fjohnson@example.com,Amber Montgomery,Second-hand Sales,2688,5948,894,0,321,3130,0,473,Offline,High,Bank Transfer,1TB,HDD,2GB,2/8/2023,N/A
Africa,South Africa,Northern Cape,S & A Computer Place,7,Asus,TUF Gaming A15,Daniel,Lee,+1-596-996-3259x547,lauriecastillo@example.com,Daniel Lane,Repairs,19245,23505,555,1783,850,20130,3330,434,Offline,Low,Finance,256GB,SSD,2GB,9/29/2023,N/A
